CdId,SMILES,Mol Weight,Formula,Source Identifier,Source,Overlap count,Overlap hits,GroupID
2720,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@@](C)(CC[C@]3(C)CC[C@]12C)C(O)=O,450.62,C29H38O4,NCGC00178913-14,NCATS,2,"NCGC00178913-14,NCGC00178913-11",17
29,CN(C)c1ccc2[n+](C)c(\\C=C/c3cc(C)n(c3C)-c3ccccc3)ccc2c1.Oc1c(cc2ccccc2c1Cc1c(O)c(cc2ccccc12)C([O-])=O)C([O-])=O,768.89,C49H42N3O6,NCGC00180911-03,NCATS,1,NCGC00180911-03,18
2721,CN(C)c1ccc2[n+](C)c(\\C=C/c3cc(C)n(c3C)-c3ccccc3)ccc2c1.Oc1c(cc2ccccc2c1Cc1c(O)c(cc2ccccc12)C([O-])=O)C([O-])=O,768.89,C49H42N3O6,NCGC00180911-03,NCATS,1,NCGC00180911-03,18
17896,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1,570.65,C35H30N4O4,CHEMBL608533,Manual_curated,1,NCGC00241102-05,19
32,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)N1C3=CC=CC=C3C3=C4CNC(=O)C4=C4C5=CC=CC=C5N2C4=C13)N(C)C(=O)C1=CC=CC=C1,570.65,C35H30N4O4,NCGC00241102-05,NCATS,1,CHEMBL608533,19
11686,COC1=CC=C2NC3=C(C=CC(Cl)=C3)C(N=C3C=C(CN4CCCC4)C(=O)C(CN4CCCC4)=C3)=C2N1,518.06,C29H32ClN5O2,NCGC00246187-02,NCATS,2,"NCGC00246187-06,NCGC00246187-06",20
33,COC1=CC=C2NC3=C(C=CC(Cl)=C3)C(N=C3C=C(CN4CCCC4)C(=O)C(CN4CCCC4)=C3)=C2N1,518.06,C29H32ClN5O2,NCGC00246187-06,NCATS,2,"NCGC00246187-06,NCGC00246187-02",20
2724,COC1=CC=C2NC3=C(C=CC(Cl)=C3)C(N=C3C=C(CN4CCCC4)C(=O)C(CN4CCCC4)=C3)=C2N1,518.06,C29H32ClN5O2,NCGC00246187-06,NCATS,2,"NCGC00246187-06,NCGC00246187-02",20
36,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C1=CC(=NO1)C(=O)NCCCCCCC(=O)NO,446.5,C22H30N4O6,NCGC00250390-07,NCATS,1,NCGC00250390-10,21
2804,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C1=CC(=NO1)C(=O)NCCCCCCC(=O)NO,446.5,C22H30N4O6,NCGC00250390-10,NCATS,1,NCGC00250390-07,21
38,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,532.57,C29H27F3N6O,NCGC00263152-05,NCATS,3,"NCGC00263152-05,NCGC00263152-15,NCGC00263152-15",22
2732,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,532.57,C29H27F3N6O,NCGC00263152-05,NCATS,3,"NCGC00263152-05,NCGC00263152-15,NCGC00263152-15",22
2733,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,532.57,C29H27F3N6O,NCGC00263152-15,NCATS,3,"NCGC00263152-05,NCGC00263152-05,NCGC00263152-15",22
2819,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,532.57,C29H27F3N6O,NCGC00263152-15,NCATS,3,"NCGC00263152-05,NCGC00263152-05,NCGC00263152-15",22
2820,CC(C)[C@H](C(=O)NC1=CC=C(C=C1)C(=O)NO)C1=CC=CC=C1,312.37,C18H20N2O3,NCGC00263153-07,NCATS,2,"NCGC00263153-10,NCGC00263153-10",23
39,CC(C)[C@H](C(=O)NC1=CC=C(C=C1)C(=O)NO)C1=CC=CC=C1,312.37,C18H20N2O3,NCGC00263153-10,NCATS,2,"NCGC00263153-10,NCGC00263153-07",23
2734,CC(C)[C@H](C(=O)NC1=CC=C(C=C1)C(=O)NO)C1=CC=CC=C1,312.37,C18H20N2O3,NCGC00263153-10,NCATS,2,"NCGC00263153-10,NCGC00263153-07",23
12185,COC1=CC2=C(CN(CCC3=CC=C(NC(=O)C4=CC=CC5=C4NC4=C(OC)C=CC=C4C5=O)C=C3)CC2)C=C1OC,563.65,C34H33N3O5,NCGC00263219-01,NCATS,1,NCGC00263219-03,24
40,COC1=CC2=C(CN(CCC3=CC=C(NC(=O)C4=CC=CC5=C4NC4=C(OC)C=CC=C4C5=O)C=C3)CC2)C=C1OC,563.65,C34H33N3O5,NCGC00263219-03,NCATS,1,NCGC00263219-01,24
6013,OC(C1CCN(CC1)C(=O)OC1=CC=C(C=C1)[N+]([O-])=O)(C1=CC2=C(OCO2)C=C1)C1=CC=C2OCOC2=C1,520.49,C27H24N2O9,NCGC00263237-01,NCATS,2,"NCGC00263237-09,NCGC00263237-01",25
12199,OC(C1CCN(CC1)C(=O)OC1=CC=C(C=C1)[N+]([O-])=O)(C1=CC2=C(OCO2)C=C1)C1=CC=C2OCOC2=C1,520.49,C27H24N2O9,NCGC00263237-01,NCATS,2,"NCGC00263237-09,NCGC00263237-01",25
41,OC(C1CCN(CC1)C(=O)OC1=CC=C(C=C1)[N+]([O-])=O)(C1=CC2=C(OCO2)C=C1)C1=CC=C2OCOC2=C1,520.49,C27H24N2O9,NCGC00263237-09,NCATS,2,"NCGC00263237-01,NCGC00263237-01",25
42,CCCCCCCCCCCCCCCC1=C(C(O)=O)C(O)=CC=C1,348.53,C22H36O3,NCGC00263625-09,NCATS,1,NCGC00263625-09,26
2640,CCCCCCCCCCCCCCCC1=C(C(O)=O)C(O)=CC=C1,348.53,C22H36O3,NCGC00263625-09,NCATS,1,NCGC00263625-09,26
12409,COC1=CC=C(CN2C=CC3=C2C=C(C=C3)C(=O)NO)C=C1,296.33,C17H16N2O3,NCGC00345492-02,NCATS,1,NCGC00345492-06,27
43,COC1=CC=C(CN2C=CC3=C2C=C(C=C3)C(=O)NO)C=C1,296.33,C17H16N2O3,NCGC00345492-06,NCATS,1,NCGC00345492-02,27
6257,CN1C=C(\\C=C\\C(=O)C2=CC=CC(F)=C2)C=C1\\C=C\\C(=O)NO,314.32,C17H15FN2O3,NCGC00346534-01,NCATS,2,"NCGC00346534-07,NCGC00346534-01",28
12523,CN1C=C(\\C=C\\C(=O)C2=CC=CC(F)=C2)C=C1\\C=C\\C(=O)NO,314.32,C17H15FN2O3,NCGC00346534-01,NCATS,2,"NCGC00346534-07,NCGC00346534-01",28
44,CN1C=C(\\C=C\\C(=O)C2=CC=CC(F)=C2)C=C1\\C=C\\C(=O)NO,314.32,C17H15FN2O3,NCGC00346534-07,NCATS,2,"NCGC00346534-01,NCGC00346534-01",28
6261,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,C36H53N7O6,NCGC00346545-01,NCATS,5,"NCGC00346545-08,NCGC00346545-03,NCGC00346545-01,Telaprevir,Telaprevir",29
12530,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,C36H53N7O6,NCGC00346545-01,NCATS,5,"NCGC00346545-08,NCGC00346545-03,NCGC00346545-01,Telaprevir,Telaprevir",29
2443,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,C36H53N7O6,NCGC00346545-03,NCATS,5,"NCGC00346545-08,NCGC00346545-01,NCGC00346545-01,Telaprevir,Telaprevir",29
45,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,C36H53N7O6,NCGC00346545-08,NCATS,5,"NCGC00346545-03,NCGC00346545-01,NCGC00346545-01,Telaprevir,Telaprevir",29
16995,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=CN=CC=N1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,C36H53N7O6,Telaprevir,VTIs,5,"NCGC00346545-08,NCGC00346545-03,NCGC00346545-01,NCGC00346545-01,Telaprevir",29
17580,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,679.86,C36H53N7O6,Telaprevir,Manual_curated,5,"NCGC00346545-08,NCGC00346545-03,NCGC00346545-01,NCGC00346545-01,Telaprevir",29
12545,COC1=CC2=C(C=C1CC1=C(F)C(Cl)=CC=C1)C(=O)C(=CN2[C@H](CO)C(C)C)C(O)=O,447.89,C23H23ClFNO5,NCGC00346565-01,NCATS,2,"NCGC00346565-08,NCGC00346565-04",30
239,COC1=CC2=C(C=C1CC1=C(F)C(Cl)=CC=C1)C(=O)C(=CN2[C@H](CO)C(C)C)C(O)=O,447.89,C23H23ClFNO5,NCGC00346565-04,NCATS,2,"NCGC00346565-08,NCGC00346565-01",30
46,COC1=CC2=C(C=C1CC1=C(F)C(Cl)=CC=C1)C(=O)C(=CN2[C@H](CO)C(C)C)C(O)=O,447.89,C23H23ClFNO5,NCGC00346565-08,NCATS,2,"NCGC00346565-04,NCGC00346565-01",30
15556,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,419.38,C20H19F2N3O5,CHEMBL1229211,ChEMBL,4,"NCGC00346629-09,NCGC00346629-09,NCGC00346629-01,Dolutegravir",31
17418,C[C@@H]1CCO[C@H]2CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N12,419.38,C20H19F2N3O5,Dolutegravir,Manual_curated,4,"NCGC00346629-09,NCGC00346629-09,NCGC00346629-01,CHEMBL1229211",31
12598,C[C@@H]1CCO[C@H]2CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C(O)=C3C(=O)N12,419.38,C20H19F2N3O5,NCGC00346629-01,NCATS,4,"NCGC00346629-09,NCGC00346629-09,CHEMBL1229211,Dolutegravir",31
47,C[C@@H]1CCO[C@H]2CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C(O)=C3C(=O)N12,419.38,C20H19F2N3O5,NCGC00346629-09,NCATS,4,"NCGC00346629-09,NCGC00346629-01,CHEMBL1229211,Dolutegravir",31
573,C[C@@H]1CCO[C@H]2CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C(O)=C3C(=O)N12,419.38,C20H19F2N3O5,NCGC00346629-09,NCATS,4,"NCGC00346629-09,NCGC00346629-01,CHEMBL1229211,Dolutegravir",31
15036,Nc1ccc(cn1)C(=O)Nc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,467.49,C25H21N7O3,CHEMBL2178735,ChEMBL,5,"NCGC00346683-02,NCGC00346683-02,NCGC00346683-02,NCGC00346683-01,CHEMBL2178735",32
15563,Nc1ccc(cn1)C(=O)Nc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,467.49,C25H21N7O3,CHEMBL2178735,ChEMBL,5,"NCGC00346683-02,NCGC00346683-02,NCGC00346683-02,NCGC00346683-01,CHEMBL2178735",32
12627,NC1=CC=C(C=N1)C(=O)NC1=CC=CC(=C1)C1=NC(N2CCOCC2)=C2OC3=NC=CC=C3C2=N1,467.49,C25H21N7O3,NCGC00346683-01,NCATS,5,"NCGC00346683-02,NCGC00346683-02,NCGC00346683-02,CHEMBL2178735,CHEMBL2178735",32
